sparsity,latency_ms,speedup,stddev_ms,cycles
0.00,13.381362,0.9936,0.699002,36047200
0.05,13.139155,1.1130,0.967697,35394559
0.10,14.838064,1.0640,1.067406,39971047
0.15,12.869467,1.1578,1.054382,34668039
0.20,13.616254,1.0902,0.900044,36679804
0.30,12.503433,1.2038,1.119721,33682133
0.40,12.094591,1.3690,1.365612,32580856
0.50,10.410128,1.7566,1.057339,28043331
0.60,9.626331,1.6808,0.993879,25931891
0.75,7.857246,2.0964,0.826279,21166400
0.90,4.706957,3.2376,0.403189,12680097
