timestamp,model,version,arch,layers,experts,hidden,top_k,tokens_per_sec,latency_ms,gflops,avg_loss,perplexity,tokens_evaluated,skip_rate,cpu_model,cpu_cores,ram_gb,os,arch
2026-05-09T11:45:20Z,albert-moe-13,v2.0.0,5L×12E×256H,5,12,256,3,84.4,11.8,0.1687,,,0,0.750,"Intel(R) Core(TM) i7-4800MQ CPU @ 2.70GHz",8,7.1,linux,x86_64
2026-05-09T14:27:00Z,albert-moe-13,v2.0.0,5L×12E×256H,5,12,256,3,25.2,39.8,0.0503,8.1509,3466.41,64000,0.750,"Intel(R) Core(TM) i7-4800MQ CPU @ 2.70GHz",8,7.1,linux,x86_64
