threshold,sparsity,mse,nmse
0.05,8.20,2.105082,0.407043
0.10,16.41,2.043863,0.396573
0.20,34.38,1.537194,0.298865
0.30,62.50,0.282771,0.057258
0.50,69.53,0.859609,0.175151
